"quadrat","quadrat_depth_m","mud_silt","sand","pebble","cobble","boulder","rockface","turf","eelgrass","site","region","region_nation","date","depth_band","visibility_m","bearing","reg_id"
"9",7.3,0,0,0,10,90,0,0,0,"Owen Bay","Quadra","Nanwakolas",2024-08-19,"deep",5,20,3
"10",6.9,10,10,0,20,60,0,0,0,"Owen Bay","Quadra","Nanwakolas",2024-08-19,"deep",5,20,3
"1",5.5,0,0,0,0,0,100,0,0,"Octopus","Quadra","Nanwakolas",2024-08-19,"shallow",4,340,3
"2",5.1,0,0,0,0,0,100,0,0,"Octopus","Quadra","Nanwakolas",2024-08-19,"shallow",4,340,3
"3",5.9,0,0,0,0,0,100,0,0,"Octopus","Quadra","Nanwakolas",2024-08-19,"shallow",4,340,3
"4",4.9,0,0,0,0,0,100,0,0,"Octopus","Quadra","Nanwakolas",2024-08-19,"shallow",4,340,3
"5",5.2,0,0,0,0,0,100,0,0,"Octopus","Quadra","Nanwakolas",2024-08-19,"shallow",4,340,3
"6",4.6,0,0,0,0,0,100,0,0,"Octopus","Quadra","Nanwakolas",2024-08-19,"shallow",4,340,3
"7",4.8,20,0,0,0,0,80,0,0,"Octopus","Quadra","Nanwakolas",2024-08-19,"shallow",4,340,3
"8",5.4,0,0,0,0,20,80,0,0,"Octopus","Quadra","Nanwakolas",2024-08-19,"shallow",4,340,3
"9",5.7,0,0,0,0,0,100,0,0,"Octopus","Quadra","Nanwakolas",2024-08-19,"shallow",4,340,3
"10",4.9,0,0,0,0,0,100,0,0,"Octopus","Quadra","Nanwakolas",2024-08-19,"shallow",4,340,3
"1",6,0,0,0,20,20,60,0,0,"Kanish","Quadra","Nanwakolas",2024-08-20,"deep",NA,NA,3
"2",6.8,0,0,0,0,0,100,0,0,"Kanish","Quadra","Nanwakolas",2024-08-20,"deep",NA,NA,3
"3",6.4,0,0,0,0,80,20,0,0,"Kanish","Quadra","Nanwakolas",2024-08-20,"deep",NA,NA,3
"4",6.2,0,0,0,30,70,0,0,0,"Kanish","Quadra","Nanwakolas",2024-08-20,"deep",NA,NA,3
"5",6.6,0,20,0,0,80,0,0,0,"Kanish","Quadra","Nanwakolas",2024-08-20,"deep",NA,NA,3
"1",8.2,0,10,0,30,60,0,0,0,"Octopus","Quadra","Nanwakolas",2024-08-20,"deep",3.5,340,3
"2",8,0,20,0,0,80,0,0,0,"Octopus","Quadra","Nanwakolas",2024-08-20,"deep",3.5,340,3
"3",7.8,0,10,0,0,90,0,0,0,"Octopus","Quadra","Nanwakolas",2024-08-20,"deep",3.5,340,3
"4",8.3,0,0,10,0,90,0,0,0,"Octopus","Quadra","Nanwakolas",2024-08-20,"deep",3.5,340,3
"5",8.4,0,40,0,0,60,0,0,0,"Octopus","Quadra","Nanwakolas",2024-08-20,"deep",3.5,340,3
"6",6.3,0,0,0,0,0,100,0,0,"Kanish","Quadra","Nanwakolas",2024-08-20,"deep",NA,NA,3
"7",5.8,0,0,0,40,60,0,0,0,"Kanish","Quadra","Nanwakolas",2024-08-20,"deep",NA,NA,3
"8",5.9,20,0,0,50,30,0,0,0,"Kanish","Quadra","Nanwakolas",2024-08-20,"deep",NA,NA,3
"9",6.6,20,0,20,20,40,0,0,0,"Kanish","Quadra","Nanwakolas",2024-08-20,"deep",NA,NA,3
"10",5.7,10,0,10,30,50,0,0,0,"Kanish","Quadra","Nanwakolas",2024-08-20,"deep",NA,NA,3
"6",7.9,10,0,0,0,90,0,0,0,"Octopus","Quadra","Nanwakolas",2024-08-20,"deep",3.5,340,3
"7",7.9,20,0,0,0,80,0,0,0,"Octopus","Quadra","Nanwakolas",2024-08-20,"deep",3.5,340,3
"8",7.7,5,0,0,10,85,0,0,0,"Octopus","Quadra","Nanwakolas",2024-08-20,"deep",3.5,340,3
"9",8,20,0,0,0,80,0,0,0,"Octopus","Quadra","Nanwakolas",2024-08-20,"deep",3.5,340,3
"10",8.1,40,0,0,10,50,0,0,0,"Octopus","Quadra","Nanwakolas",2024-08-20,"deep",3.5,340,3
"6",3.9,0,0,0,0,100,0,0,0,"Kanish","Quadra","Nanwakolas",2024-08-20,"shallow",NA,NA,3
"7",3.7,0,0,0,0,100,0,0,0,"Kanish","Quadra","Nanwakolas",2024-08-20,"shallow",NA,NA,3
"8",3.4,0,0,0,0,100,0,0,0,"Kanish","Quadra","Nanwakolas",2024-08-20,"shallow",NA,NA,3
"9",3.3,0,10,0,0,10,80,0,0,"Kanish","Quadra","Nanwakolas",2024-08-20,"shallow",NA,NA,3
"10",3.8,30,0,0,50,20,0,0,0,"Kanish","Quadra","Nanwakolas",2024-08-20,"shallow",NA,NA,3
"1",3.9,0,0,0,0,100,0,0,0,"Kanish","Quadra","Nanwakolas",2024-08-20,"shallow",NA,NA,3
"2",3.9,0,0,0,0,100,0,0,0,"Kanish","Quadra","Nanwakolas",2024-08-20,"shallow",NA,NA,3
"3",3.8,0,0,0,0,100,0,0,0,"Kanish","Quadra","Nanwakolas",2024-08-20,"shallow",NA,NA,3
"4",3.6,0,0,0,0,20,80,0,0,"Kanish","Quadra","Nanwakolas",2024-08-20,"shallow",NA,NA,3
"5",3.8,0,30,0,10,60,0,0,0,"Kanish","Quadra","Nanwakolas",2024-08-20,"shallow",NA,NA,3
"1",3,0,10,0,0,90,0,0,0,"Owen Bay","Quadra","Nanwakolas",2024-08-20,"shallow",5,210,3
"2",3.8,0,0,0,30,70,0,0,0,"Owen Bay","Quadra","Nanwakolas",2024-08-20,"shallow",5,210,3
"3",3.5,0,0,0,10,90,0,0,0,"Owen Bay","Quadra","Nanwakolas",2024-08-20,"shallow",5,210,3
"4",3.9,0,0,0,0,100,0,0,0,"Owen Bay","Quadra","Nanwakolas",2024-08-20,"shallow",5,210,3
"5",4.1,0,20,0,0,80,0,0,0,"Owen Bay","Quadra","Nanwakolas",2024-08-20,"shallow",5,210,3
"6",3.7,0,0,0,10,90,0,0,0,"Owen Bay","Quadra","Nanwakolas",2024-08-20,"shallow",5,210,3
"7",3.6,0,10,0,20,70,0,0,0,"Owen Bay","Quadra","Nanwakolas",2024-08-20,"shallow",5,210,3
"8",3.8,0,0,0,0,100,0,0,0,"Owen Bay","Quadra","Nanwakolas",2024-08-20,"shallow",5,210,3
"9",3.8,0,10,0,0,90,0,0,0,"Owen Bay","Quadra","Nanwakolas",2024-08-20,"shallow",5,210,3
"10",4,0,10,0,20,70,0,0,0,"Owen Bay","Quadra","Nanwakolas",2024-08-20,"shallow",5,210,3
"6",5.9,0,40,0,0,40,10,10,0,"Lizard","Broughton Archipelago",NA,2024-08-25,"deep",2.5,250,4
"7",5.8,0,60,25,0,15,0,0,0,"Lizard","Broughton Archipelago",NA,2024-08-25,"deep",2.5,250,4
"8",5.6,0,60,10,10,20,0,0,0,"Lizard","Broughton Archipelago",NA,2024-08-25,"deep",2.5,250,4
"9",5.6,0,50,20,0,30,0,0,0,"Lizard","Broughton Archipelago",NA,2024-08-25,"deep",2.5,250,4
"10",5.9,0,40,10,10,40,0,0,0,"Lizard","Broughton Archipelago",NA,2024-08-25,"deep",2.5,250,4
"1",6.2,0,70,0,0,30,0,0,0,"Lizard","Broughton Archipelago",NA,2024-08-25,"deep",2.5,250,4
"2",6,0,40,30,0,30,0,0,0,"Lizard","Broughton Archipelago",NA,2024-08-25,"deep",2.5,250,4
"3",5.4,0,10,0,0,90,0,0,0,"Lizard","Broughton Archipelago",NA,2024-08-25,"deep",2.5,250,4
"4",6.1,0,10,0,0,90,0,0,0,"Lizard","Broughton Archipelago",NA,2024-08-25,"deep",2.5,250,4
"5",6,0,10,20,0,70,0,0,0,"Lizard","Broughton Archipelago",NA,2024-08-25,"deep",2.5,250,4
"6",3.1,35,20,5,10,30,0,0,0,"Lizard","Broughton Archipelago",NA,2024-08-25,"shallow",2,240,4
"7",3.1,5,25,0,10,60,0,0,0,"Lizard","Broughton Archipelago",NA,2024-08-25,"shallow",2,240,4
"8",2.8,5,25,0,0,70,0,0,0,"Lizard","Broughton Archipelago",NA,2024-08-25,"shallow",2,240,4
"9",2.7,10,50,0,10,30,0,0,0,"Lizard","Broughton Archipelago",NA,2024-08-25,"shallow",2,240,4
"10",2.8,0,40,0,20,40,0,0,0,"Lizard","Broughton Archipelago",NA,2024-08-25,"shallow",2,240,4
"1",3.8,0,30,0,0,70,0,0,0,"Lizard","Broughton Archipelago",NA,2024-08-25,"shallow",2,240,4
"2",3.5,0,60,0,10,30,0,0,0,"Lizard","Broughton Archipelago",NA,2024-08-25,"shallow",2,240,4
"3",3.1,0,20,0,0,80,0,0,0,"Lizard","Broughton Archipelago",NA,2024-08-25,"shallow",2,240,4
"4",3,0,30,0,0,70,0,0,0,"Lizard","Broughton Archipelago",NA,2024-08-25,"shallow",2,240,4
"5",3,0,20,10,0,70,0,0,0,"Lizard","Broughton Archipelago",NA,2024-08-25,"shallow",2,240,4
"6",7.8,0,0,20,10,40,30,0,0,"Nimpkish","Broughton Archipelago",NA,2024-08-26,"deep",5.5,277,4
"7",7.6,0,0,0,10,70,20,0,0,"Nimpkish","Broughton Archipelago",NA,2024-08-26,"deep",5.5,277,4
"8",7.3,0,20,0,10,70,0,0,0,"Nimpkish","Broughton Archipelago",NA,2024-08-26,"deep",5.5,277,4
"9",7.2,0,30,30,0,40,0,0,0,"Nimpkish","Broughton Archipelago",NA,2024-08-26,"deep",5.5,277,4
"10",6.8,0,30,20,0,20,30,0,0,"Nimpkish","Broughton Archipelago",NA,2024-08-26,"deep",5.5,277,4
"1",8.2,0,10,20,10,60,0,0,0,"Nimpkish","Broughton Archipelago",NA,2024-08-26,"deep",5.5,277,4
"2",8,0,40,0,10,60,0,0,0,"Nimpkish","Broughton Archipelago",NA,2024-08-26,"deep",5.5,277,4
"3",7,0,50,10,0,40,0,0,0,"Nimpkish","Broughton Archipelago",NA,2024-08-26,"deep",5.5,277,4
"4",7.1,0,20,10,10,60,0,0,0,"Nimpkish","Broughton Archipelago",NA,2024-08-26,"deep",5.5,277,4
"5",6.8,0,50,5,5,40,0,0,0,"Nimpkish","Broughton Archipelago",NA,2024-08-26,"deep",5.5,277,4
"6",5.2,0,30,0,20,50,0,0,0,"Nimpkish","Broughton Archipelago",NA,2024-08-26,"shallow",5,277,4
"7",5.2,0,25,25,30,20,0,0,0,"Nimpkish","Broughton Archipelago",NA,2024-08-26,"shallow",5,277,4
"8",5.1,0,40,0,20,40,0,0,0,"Nimpkish","Broughton Archipelago",NA,2024-08-26,"shallow",5,277,4
"9",5,0,35,20,40,5,0,0,0,"Nimpkish","Broughton Archipelago",NA,2024-08-26,"shallow",5,277,4
"10",5.1,0,10,0,80,10,0,0,0,"Nimpkish","Broughton Archipelago",NA,2024-08-26,"shallow",5,277,4
"1",5.5,0,20,10,10,60,0,0,0,"Nimpkish","Broughton Archipelago",NA,2024-08-26,"shallow",5,277,4
"2",5,0,60,5,0,35,0,0,0,"Nimpkish","Broughton Archipelago",NA,2024-08-26,"shallow",5,277,4
"3",5.1,0,50,10,0,40,0,0,0,"Nimpkish","Broughton Archipelago",NA,2024-08-26,"shallow",5,277,4
"4",5.5,0,20,20,10,50,0,0,0,"Nimpkish","Broughton Archipelago",NA,2024-08-26,"shallow",5,277,4
"5",5.4,0,10,40,10,40,0,0,0,"Nimpkish","Broughton Archipelago",NA,2024-08-26,"shallow",5,277,4
"6",8.2,20,30,20,10,20,0,0,0,"Haddington","Broughton Archipelago",NA,2024-08-27,"deep",5,270,4
"7",8.2,60,30,0,10,0,0,0,0,"Haddington","Broughton Archipelago",NA,2024-08-27,"deep",5,270,4
"8",8.3,30,20,0,20,30,0,0,0,"Haddington","Broughton Archipelago",NA,2024-08-27,"deep",5,270,4
"9",8,40,10,0,20,30,0,0,0,"Haddington","Broughton Archipelago",NA,2024-08-27,"deep",5,270,4
"10",8.1,40,0,0,30,30,0,0,0,"Haddington","Broughton Archipelago",NA,2024-08-27,"deep",5,270,4
"1",8.8,0,20,0,0,80,0,0,0,"Haddington","Broughton Archipelago",NA,2024-08-27,"deep",5,270,4
"2",8.6,0,90,0,10,0,0,0,0,"Haddington","Broughton Archipelago",NA,2024-08-27,"deep",5,270,4
"3",8.5,0,95,5,0,0,0,0,0,"Haddington","Broughton Archipelago",NA,2024-08-27,"deep",5,270,4
"4",8.5,0,30,10,5,55,0,0,0,"Haddington","Broughton Archipelago",NA,2024-08-27,"deep",5,270,4
"5",8.1,0,25,5,0,70,0,0,0,"Haddington","Broughton Archipelago",NA,2024-08-27,"deep",5,270,4
"6",5.9,50,30,0,0,20,0,0,0,"Haddington","Broughton Archipelago",NA,2024-08-27,"shallow",4,290,4
"7",5.9,60,0,0,20,20,0,0,0,"Haddington","Broughton Archipelago",NA,2024-08-27,"shallow",4,290,4
"8",6,30,0,10,10,50,0,0,0,"Haddington","Broughton Archipelago",NA,2024-08-27,"shallow",4,290,4
"9",6.3,30,10,0,20,40,0,0,0,"Haddington","Broughton Archipelago",NA,2024-08-27,"shallow",4,290,4
"10",5.8,60,0,20,20,0,0,0,0,"Haddington","Broughton Archipelago",NA,2024-08-27,"shallow",4,290,4
"1",6.3,0,25,5,0,70,0,0,0,"Haddington","Broughton Archipelago",NA,2024-08-27,"shallow",4,290,4
"2",6.4,0,20,10,0,70,0,0,0,"Haddington","Broughton Archipelago",NA,2024-08-27,"shallow",4,290,4
"3",6.5,0,15,5,5,75,0,0,0,"Haddington","Broughton Archipelago",NA,2024-08-27,"shallow",4,290,4
"4",6.6,0,30,5,0,65,0,0,0,"Haddington","Broughton Archipelago",NA,2024-08-27,"shallow",4,290,4
"5",6.9,0,90,0,10,0,0,0,0,"Haddington","Broughton Archipelago",NA,2024-08-27,"shallow",4,290,4
"1",7.8,0,40,20,30,10,0,0,0,"Siaosun","Sooke","T'Sou-ke",2024-08-31,"deep",5,115,1
"2",7.6,0,20,30,30,20,0,0,0,"Siaosun","Sooke","T'Sou-ke",2024-08-31,"deep",5,115,1
"3",7.7,0,50,10,10,30,0,0,0,"Siaosun","Sooke","T'Sou-ke",2024-08-31,"deep",5,115,1
"4",8.1,0,10,20,20,50,0,0,0,"Siaosun","Sooke","T'Sou-ke",2024-08-31,"deep",5,115,1
"5",7.8,0,0,10,30,60,0,0,0,"Siaosun","Sooke","T'Sou-ke",2024-08-31,"deep",5,115,1
"6",7.8,20,0,20,20,40,0,0,0,"Siaosun","Sooke","T'Sou-ke",2024-08-31,"deep",5,115,1
"7",7.6,10,0,0,20,70,0,0,0,"Siaosun","Sooke","T'Sou-ke",2024-08-31,"deep",5,115,1
"8",7.5,10,0,0,20,70,0,0,0,"Siaosun","Sooke","T'Sou-ke",2024-08-31,"deep",5,115,1
"9",8.1,10,20,20,10,40,0,0,0,"Siaosun","Sooke","T'Sou-ke",2024-08-31,"deep",5,115,1
"10",7.8,10,40,25,10,15,0,0,0,"Siaosun","Sooke","T'Sou-ke",2024-08-31,"deep",5,115,1
"1",5.5,0,70,5,0,25,0,0,0,"Muir Creek","Sooke","T'Sou-ke",2024-09-01,"deep",3,250,1
"2",5.7,0,75,10,5,10,0,0,0,"Muir Creek","Sooke","T'Sou-ke",2024-09-01,"deep",3,250,1
"3",5.6,0,70,5,5,20,0,0,0,"Muir Creek","Sooke","T'Sou-ke",2024-09-01,"deep",3,250,1
"4",5.8,0,50,10,15,25,0,0,0,"Muir Creek","Sooke","T'Sou-ke",2024-09-01,"deep",3,250,1
"5",6,0,90,5,5,0,0,0,0,"Muir Creek","Sooke","T'Sou-ke",2024-09-01,"deep",3,250,1
"6",5.5,0,95,0,5,0,0,0,0,"Muir Creek","Sooke","T'Sou-ke",2024-09-01,"deep",3,250,1
"7",5.6,0,60,15,10,15,0,0,0,"Muir Creek","Sooke","T'Sou-ke",2024-09-01,"deep",3,250,1
"8",5.8,0,45,NA,25,30,0,0,0,"Muir Creek","Sooke","T'Sou-ke",2024-09-01,"deep",3,250,1
"9",5.8,0,50,0,15,35,0,0,0,"Muir Creek","Sooke","T'Sou-ke",2024-09-01,"deep",3,250,1
"10",5.7,0,60,10,10,20,0,0,0,"Muir Creek","Sooke","T'Sou-ke",2024-09-01,"deep",3,250,1
"1",3,0,40,15,15,30,0,0,0,"Muir Creek","Sooke","T'Sou-ke",2024-09-01,"shallow",2,240,1
"2",3.2,0,30,20,20,30,0,0,0,"Muir Creek","Sooke","T'Sou-ke",2024-09-01,"shallow",2,240,1
"3",3.2,0,20,5,25,50,0,0,0,"Muir Creek","Sooke","T'Sou-ke",2024-09-01,"shallow",2,240,1
"4",3.3,0,20,10,50,10,0,0,0,"Muir Creek","Sooke","T'Sou-ke",2024-09-01,"shallow",2,240,1
"5",3.4,0,20,10,40,20,0,0,0,"Muir Creek","Sooke","T'Sou-ke",2024-09-01,"shallow",2,240,1
"6",2.8,0,30,0,20,50,0,0,0,"Muir Creek","Sooke","T'Sou-ke",2024-09-01,"shallow",2,240,1
"7",2.5,0,20,10,30,40,0,0,0,"Muir Creek","Sooke","T'Sou-ke",2024-09-01,"shallow",2,240,1
"8",2.5,0,20,10,20,50,0,0,0,"Muir Creek","Sooke","T'Sou-ke",2024-09-01,"shallow",2,240,1
"9",2.5,0,40,10,25,25,0,0,0,"Muir Creek","Sooke","T'Sou-ke",2024-09-01,"shallow",2,240,1
"10",2.9,0,20,20,30,30,0,0,0,"Muir Creek","Sooke","T'Sou-ke",2024-09-01,"shallow",2,240,1
"6",2.7,0,20,0,15,40,0,20,5,"Siaosun","Sooke","T'Sou-ke",2024-09-02,"shallow",2,NA,1
"7",2.7,0,80,0,0,0,0,10,10,"Siaosun","Sooke","T'Sou-ke",2024-09-02,"shallow",2,NA,1
"8",2.8,0,65,0,5,30,0,0,0,"Siaosun","Sooke","T'Sou-ke",2024-09-02,"shallow",2,NA,1
"9",2.6,0,65,0,0,35,0,0,0,"Siaosun","Sooke","T'Sou-ke",2024-09-02,"shallow",2,NA,1
"10",2.8,0,60,0,30,10,0,0,0,"Siaosun","Sooke","T'Sou-ke",2024-09-02,"shallow",2,NA,1
"6",2.5,0,50,0,0,20,30,0,0,"Siaosun","Sooke","T'Sou-ke",2024-09-02,"shallow",2,NA,1
"7",2.4,0,70,0,10,20,0,0,0,"Siaosun","Sooke","T'Sou-ke",2024-09-02,"shallow",2,NA,1
"8",2.4,30,20,0,0,0,50,0,0,"Siaosun","Sooke","T'Sou-ke",2024-09-02,"shallow",2,NA,1
"9",2.4,0,10,0,0,90,0,0,0,"Siaosun","Sooke","T'Sou-ke",2024-09-02,"shallow",2,NA,1
