survey_id,observer,quadrat,depth_m,common_name,species_name,abundance,,,,,,,,,,,,,,,,,
1,AEA,2,4.4,Northern kelp crab,Pugettia producta,1,,,,,,,,,,,,,,,,,
1,AEA,2,4.4,Graceful kelp crab,Pugettia gracilis,1,,,,,,,,,,,,,,,,,
1,AEA,5,4.1,Dusky turban snail,Tegula pulligo,4,,,,,,,,,,,,,,,,,
1,CMA,2,4.4,Orange sea cucumber,Cucumaria miniata,1,,,,,,,,,,,,,,,,,
1,CMA,3,4.4,Graceful kelp crab,Pugettia gracilis,1,,,,,,,,,,,,,,,,,
2,AEA,2,2.1,Northern kelp crab,Pugettia producta,1,,,,,,,,,,,,,,,,,
2,AEA,2,2.1,Graceful kelp crab,Pugettia gracilis,1,,,,,,,,,,,,,,,,,
2,AEA,3,1.9,Graceful kelp crab,Pugettia gracilis,2,,,,,,,,,,,,,,,,,
2,CMA,1,2,Northern kelp crab,Pugettia producta,2,,,,,,,,,,,,,,,,,
2,CMA,2,1.9,Northern kelp crab,Pugettia producta,1,,,,,,,,,,,,,,,,,
2,CMA,4,1.7,Northern kelp crab,Pugettia producta,1,,,,,,,,,,,,,,,,,
2,CMA,4,1.7,Orange sea cucumber,Cucumaria miniata,2,,,,,,,,,,,,,,,,,
3,AEA,1,8.6,Dusky turban snail,Tegula pulligo,1,,,,,,,,,,,,,,,,,
3,AEA,1,8.6,Red turban snail,Pomaulax gibberosus,1,,,,,,,,,,,,,,,,,
3,AEA,2,8.2,Red turban snail,Pomaulax gibberosus,2,,,,,,,,,,,,,,,,,
3,AEA,3,7.5,Purple sea urchin,Strongylocentrotus purpuratus,3,,,,,,,,,,,,,,,,,
3,AEA,3,7.5,Dusky turban snail,Tegula pulligo,4,,,,,,,,,,,,,,,,,
3,AEA,3,7.5,California sea cucumber,Apostichopus californicus,2,,,,,,,,,,,,,,,,,
3,AEA,4,7,Red turban snail,Pomaulax gibberosus,6,,,,,,,,,,,,,,,,,
3,AEA,5,6.4,Dusky turban snail,Tegula pulligo,4,,,,,,,,,,,,,,,,,
3,AEA,5,6.4,Red turban snail,Pomaulax gibberosus,4,,,,,,,,,,,,,,,,,
3,AEA,5,6.4,Purple sea urchin,Strongylocentrotus purpuratus,2,,,,,,,,,,,,,,,,,
3,AEA,5,6.4,Graceful kelp crab,Pugettia gracilis,1,,,,,,,,,,,,,,,,,
3,CMA,1,7.6,Dusky turban snail,Tegula pulligo,5,,,,,,,,,,,,,,,,,
3,CMA,1,7.6,Sunflower sea star,Pycnopodia helianthoides,1,,,,,,,,,,,,,,,,,
3,CMA,1,7.6,Red turban snail,Pomaulax gibberosus,3,,,,,,,,,,,,,,,,,
3,CMA,1,7.6,Giant rock scallop,Crassadoma gigantea,1,,,,,,,,,,,,,,,,,
3,CMA,2,7.6,Dusky turban snail,Tegula pulligo,7,,,,,,,,,,,,,,,,,
3,CMA,3,7.2,Dusky turban snail,Tegula pulligo,3,,,,,,,,,,,,,,,,,
3,CMA,3,7.2,Red turban snail,Pomaulax gibberosus,2,,,,,,,,,,,,,,,,,
3,CMA,4,6.8,Dusky turban snail,Tegula pulligo,10,,,,,,,,,,,,,,,,,
3,CMA,4,6.8,Red turban snail,Pomaulax gibberosus,1,,,,,,,,,,,,,,,,,
3,CMA,5,7,Dusky turban snail,Tegula pulligo,8,,,,,,,,,,,,,,,,,
3,CMA,5,7,Red turban snail,Pomaulax gibberosus,1,,,,,,,,,,,,,,,,,
4,AEA,1,4.1,Dusky turban snail,Tegula pulligo,6,,,,,,,,,,,,,,,,,
4,AEA,2,3.7,Dusky turban snail,Tegula pulligo,23,,,,,,,,,,,,,,,,,
4,AEA,2,3.7,Northern kelp crab,Pugettia producta,1,,,,,,,,,,,,,,,,,
4,AEA,4,3.7,Dusky turban snail,Tegula pulligo,18,,,,,,,,,,,,,,,,,
4,AEA,4,3.7,Northern kelp crab,Pugettia producta,1,,,,,,,,,,,,,,,,,
4,AEA,4,3.7,Graceful kelp crab,Pugettia gracilis,1,,,,,,,,,,,,,,,,,
4,AEA,5,3.4,Dusky turban snail,Tegula pulligo,10,,,,,,,,,,,,,,,,,
4,AEA,5,3.4,Northern kelp crab,Pugettia producta,1,,,,,,,,,,,,,,,,,
4,AEA,5,3.4,Red turban snail,Pomaulax gibberosus,1,,,,,,,,,,,,,,,,,
4,CMA,1,3.6,Dusky turban snail,Tegula pulligo,27,,,,,,,,,,,,,,,,,
4,CMA,1,3.6,Blood star,Henricia spp.,1,,,,,,,,,,,,,,,,,
4,CMA,2,3.5,Dusky turban snail,Tegula pulligo,11,,,,,,,,,,,,,,,,,
4,CMA,2,3.5,Graceful kelp crab,Pugettia gracilis,1,,,,,,,,,,,,,,,,,
4,CMA,3,3.7,Dusky turban snail,Tegula pulligo,34,,,,,,,,,,,,,,,,,
4,CMA,3,3.7,Northern abalone,Haliotis kamtschatkana,1,,,,,,,,,,,,,,,,,
4,CMA,4,3.7,Dusky turban snail,Tegula pulligo,22,,,,,,,,,,,,,,,,,
4,CMA,5,3.5,Dusky turban snail,Tegula pulligo,8,,,,,,,,,,,,,,,,,
4,CMA,5,3.5,Blood star,Henricia spp.,1,,,,,,,,,,,,,,,,,
5,AEA,1,8.7,Purple sea urchin,Strongylocentrotus purpuratus,1,,,,,,,,,,,,,,,,,
5,AEA,3,8.8,Dusky turban snail,Tegula pulligo,2,,,,,,,,,,,,,,,,,
5,AEA,3,8.8,Purple sea urchin,Strongylocentrotus purpuratus,2,,,,,,,,,,,,,,,,,
5,AEA,4,6.6,Graceful kelp crab,Pugettia gracilis,2,,,,,,,,,,,,,,,,,
5,AEA,4,6.6,Red turban snail,Pomaulax gibberosus,1,,,,,,,,,,,,,,,,,
5,AEA,5,6.9,Purple sea urchin,Strongylocentrotus purpuratus,1,,,,,,,,,,,,,,,,,
5,AEA,5,6.9,Dusky turban snail,Tegula pulligo,4,,,,,,,,,,,,,,,,,
5,CMA,1,8,Red sea urchin,Mesocentrotus franciscanus,3,,,,,,,,,,,,,,,,,
5,CMA,1,8,Orange sea cucumber,Cucumaria miniata,1,,,,,,,,,,,,,,,,,
5,CMA,2,7.3,Northern abalone,Haliotis kamtschatkana,3,,,,,,,,,,,,,,,,,
5,CMA,2,7.3,Dusky turban snail,Tegula pulligo,9,,,,,,,,,,,,,,,,,
5,CMA,3,7.4,Dusky turban snail,Tegula pulligo,3,,,,,,,,,,,,,,,,,
5,CMA,3,7.4,Blood star,Henricia spp.,1,,,,,,,,,,,,,,,,,
5,CMA,3,7.4,Graceful kelp crab,Pugettia gracilis,1,,,,,,,,,,,,,,,,,
5,CMA,4,7.2,Dusky turban snail,Tegula pulligo,12,,,,,,,,,,,,,,,,,
5,CMA,4,7.2,Graceful kelp crab,Pugettia gracilis,2,,,,,,,,,,,,,,,,,
5,CMA,4,7.2,Leafy hornmouth,Ceratostoma foliatum,1,,,,,,,,,,,,,,,,,
5,CMA,5,7.4,Dusky turban snail,Tegula pulligo,9,,,,,,,,,,,,,,,,,
5,CMA,5,7.4,Blood star,Henricia spp.,1,,,,,,,,,,,,,,,,,
6,AEA,1,3,Northern abalone,Haliotis kamtschatkana,1,,,,,,,,,,,,,,,,,
6,AEA,2,2.9,Blood star,Henricia spp.,1,,,,,,,,,,,,,,,,,
6,AEA,2,2.9,Red turban snail,Pomaulax gibberosus,2,,,,,,,,,,,,,,,,,
6,AEA,3,2.5,Blood star,Henricia spp.,1,,,,,,,,,,,,,,,,,
6,AEA,3,2.5,Red turban snail,Pomaulax gibberosus,12,,,,,,,,,,,,,,,,,
6,AEA,3,2.5,Leafy hornmouth,Ceratostoma foliatum,1,,,,,,,,,,,,,,,,,
6,AEA,3,2.5,Dusky turban snail,Tegula pulligo,3,,,,,,,,,,,,,,,,,
6,AEA,4,3,Red turban snail,Pomaulax gibberosus,16,,,,,,,,,,,,,,,,,
6,AEA,4,3,Dusky turban snail,Tegula pulligo,6,,,,,,,,,,,,,,,,,
6,AEA,4,3,Graceful kelp crab,Pugettia gracilis,3,,,,,,,,,,,,,,,,,
6,AEA,5,3,Red turban snail,Pomaulax gibberosus,6,,,,,,,,,,,,,,,,,
6,AEA,5,3,Leafy hornmouth,Ceratostoma foliatum,2,,,,,,,,,,,,,,,,,
6,AEA,5,3,Dusky turban snail,Tegula pulligo,2,,,,,,,,,,,,,,,,,
6,CMA,1,3.8,Northern abalone,Haliotis kamtschatkana,2,,,,,,,,,,,,,,,,,
6,CMA,1,3.8,Red sea urchin,Mesocentrotus franciscanus,2,,,,,,,,,,,,,,,,,
6,CMA,1,3.8,Dusky turban snail,Tegula pulligo,15,,,,,,,,,,,,,,,,,
6,CMA,1,3.8,Graceful kelp crab,Pugettia gracilis,1,,,,,,,,,,,,,,,,,
6,CMA,2,3,Northern abalone,Haliotis kamtschatkana,2,,,,,,,,,,,,,,,,,
6,CMA,2,3,Dusky turban snail,Tegula pulligo,19,,,,,,,,,,,,,,,,,
6,CMA,2,3,Graceful kelp crab,Pugettia gracilis,3,,,,,,,,,,,,,,,,,
6,CMA,2,3,Northern kelp crab,Pugettia producta,1,,,,,,,,,,,,,,,,,
6,CMA,3,3.4,Red sea urchin,Mesocentrotus franciscanus,2,,,,,,,,,,,,,,,,,
6,CMA,3,3.4,Dusky turban snail,Tegula pulligo,27,,,,,,,,,,,,,,,,,
6,CMA,3,3.4,Blood star,Henricia spp.,1,,,,,,,,,,,,,,,,,
6,CMA,3,3.4,Giant rock scallop,Crassadoma gigantea,1,,,,,,,,,,,,,,,,,
6,CMA,3,3.4,Purple sea urchin,Strongylocentrotus purpuratus,1,,,,,,,,,,,,,,,,,
6,CMA,4,3.4,Northern abalone,Haliotis kamtschatkana,1,,,,,,,,,,,,,,,,,
6,CMA,4,3.4,Red sea urchin,Mesocentrotus franciscanus,1,,,,,,,,,,,,,,,,,
6,CMA,4,3.4,Dusky turban snail,Tegula pulligo,8,,,,,,,,,,,,,,,,,
6,CMA,4,3.4,Graceful kelp crab,Pugettia gracilis,1,,,,,,,,,,,,,,,,,
6,CMA,4,3.4,Purple sea urchin,Strongylocentrotus purpuratus,2,,,,,,,,,,,,,,,,,
6,CMA,4,3.4,Red turban snail,Pomaulax gibberosus,2,,,,,,,,,,,,,,,,,
6,CMA,4,3.4,Leafy hornmouth,Ceratostoma foliatum,1,,,,,,,,,,,,,,,,,
6,CMA,5,3.7,Dusky turban snail,Tegula pulligo,18,,,,,,,,,,,,,,,,,
6,CMA,5,3.7,Red turban snail,Pomaulax gibberosus,1,,,,,,,,,,,,,,,,,
7,AEA,1,8.2,Graceful kelp crab,Pugettia gracilis,1,,,,,,,,,,,,,,,,,
7,AEA,1,8.2,Dusky turban snail,Tegula pulligo,5,,,,,,,,,,,,,,,,,
7,AEA,1,8.2,Red turban snail,Pomaulax gibberosus,2,,,,,,,,,,,,,,,,,
7,AEA,1,8.2,Dusky turban snail,Tegula pulligo,5,,,,,,,,,,,,,,,,,
7,AEA,2,8.4,Graceful kelp crab,Pugettia gracilis,1,,,,,,,,,,,,,,,,,
7,AEA,2,8.4,Dusky turban snail,Tegula pulligo,54,,,,,,,,,,,,,,,,,
7,AEA,3,8.4,Graceful kelp crab,Pugettia gracilis,4,,,,,,,,,,,,,,,,,
7,AEA,3,8.4,Dusky turban snail,Tegula pulligo,11,,,,,,,,,,,,,,,,,
7,AEA,4,8.5,Graceful kelp crab,Pugettia gracilis,2,,,,,,,,,,,,,,,,,
7,AEA,4,8.5,Dusky turban snail,Tegula pulligo,7,,,,,,,,,,,,,,,,,
7,AEA,5,8.5,Graceful kelp crab,Pugettia gracilis,2,,,,,,,,,,,,,,,,,
7,AEA,5,8.5,Red turban snail,Pomaulax gibberosus,3,,,,,,,,,,,,,,,,,
7,AEA,5,8.5,Dusky turban snail,Tegula pulligo,3,,,,,,,,,,,,,,,,,
7,CMA,1,7.9,Graceful kelp crab,Pugettia gracilis,1,,,,,,,,,,,,,,,,,
7,CMA,1,7.9,Green sea urchin,Strongylocentrotus droebachiensis,1,,,,,,,,,,,,,,,,,
7,CMA,1,7.9,Dusky turban snail,Tegula pulligo,7,,,,,,,,,,,,,,,,,
7,CMA,1,7.9,Northern kelp crab,Pugettia producta,1,,,,,,,,,,,,,,,,,
7,CMA,2,8,Dusky turban snail,Tegula pulligo,18,,,,,,,,,,,,,,,,,
7,CMA,3,8.2,Graceful kelp crab,Pugettia gracilis,1,,,,,,,,,,,,,,,,,
7,CMA,3,8.2,Dusky turban snail,Tegula pulligo,35,,,,,,,,,,,,,,,,,
7,CMA,3,8.2,Blood star,Henricia spp.,1,,,,,,,,,,,,,,,,,
7,CMA,4,8.2,Dusky turban snail,Tegula pulligo,46,,,,,,,,,,,,,,,,,
7,CMA,5,8.3,Dusky turban snail,Tegula pulligo,18,,,,,,,,,,,,,,,,,
8,AEA,1,4.9,Dusky turban snail,Tegula pulligo,13,,,,,,,,,,,,,,,,,
8,AEA,2,5,Dusky turban snail,Tegula pulligo,17,,,,,,,,,,,,,,,,,
8,AEA,2,5,Graceful kelp crab,Pugettia gracilis,2,,,,,,,,,,,,,,,,,
8,AEA,3,5.1,Dusky turban snail,Tegula pulligo,11,,,,,,,,,,,,,,,,,
8,AEA,3,5.1,Graceful kelp crab,Pugettia gracilis,3,,,,,,,,,,,,,,,,,
8,AEA,3,5.1,Blood star,Henricia spp.,1,,,,,,,,,,,,,,,,,
8,AEA,4,4.7,Dusky turban snail,Tegula pulligo,7,,,,,,,,,,,,,,,,,
8,AEA,4,4.7,Graceful kelp crab,Pugettia gracilis,1,,,,,,,,,,,,,,,,,
8,AEA,4,4.7,Green sea urchin,Strongylocentrotus droebachiensis,2,,,,,,,,,,,,,,,,,
8,AEA,4,4.7,Purple sea urchin,Strongylocentrotus purpuratus,4,,,,,,,,,,,,,,,,,
8,AEA,5,4.5,Dusky turban snail,Tegula pulligo,17,,,,,,,,,,,,,,,,,
8,AEA,5,4.5,Red turban snail,Pomaulax gibberosus,1,,,,,,,,,,,,,,,,,
8,CMA,1,4.8,Dusky turban snail,Tegula pulligo,32,,,,,,,,,,,,,,,,,
8,CMA,1,4.8,Sunflower sea star,Pycnopodia helianthoides,1,,,,,,,,,,,,,,,,,
8,CMA,2,4.8,Dusky turban snail,Tegula pulligo,32,,,,,,,,,,,,,,,,,
8,CMA,2,4.8,Blood star,Henricia spp.,1,,,,,,,,,,,,,,,,,
8,CMA,3,4.5,Dusky turban snail,Tegula pulligo,16,,,,,,,,,,,,,,,,,
8,CMA,3,4.5,Northern abalone,Haliotis kamtschatkana,1,,,,,,,,,,,,,,,,,
8,CMA,4,4.4,Dusky turban snail,Tegula pulligo,18,,,,,,,,,,,,,,,,,
8,CMA,5,4.2,Dusky turban snail,Tegula pulligo,10,,,,,,,,,,,,,,,,,
8,CMA,5,4.2,Blood star,Henricia spp.,1,,,,,,,,,,,,,,,,,
8,CMA,5,4.2,Graceful kelp crab,Pugettia gracilis,2,,,,,,,,,,,,,,,,,
9,AEA,2,7.2,Orange sea cucumber,Cucumaria miniata,3,,,,,,,,,,,,,,,,,
9,AEA,2,7.2,Graceful kelp crab,Pugettia gracilis,2,,,,,,,,,,,,,,,,,
9,AEA,3,7.3,Orange sea cucumber,Cucumaria miniata,2,,,,,,,,,,,,,,,,,
9,AEA,3,7.3,Graceful kelp crab,Pugettia gracilis,1,,,,,,,,,,,,,,,,,
9,AEA,3,7.3,Dusky turban snail,Tegula pulligo,1,,,,,,,,,,,,,,,,,
9,AEA,4,7.5,Dusky turban snail,Tegula pulligo,1,,,,,,,,,,,,,,,,,
9,AEA,5,7.8,Dusky turban snail,Tegula pulligo,2,,,,,,,,,,,,,,,,,
9,CMA,1,6.8,Dusky turban snail,Tegula pulligo,3,,,,,,,,,,,,,,,,,
9,CMA,2,7,Dusky turban snail,Tegula pulligo,2,,,,,,,,,,,,,,,,,
9,CMA,3,7.4,Dusky turban snail,Tegula pulligo,1,,,,,,,,,,,,,,,,,
9,CMA,3,7.4,Red sea urchin,Mesocentrotus franciscanus,3,,,,,,,,,,,,,,,,,
9,CMA,4,7.5,Northern kelp crab,Pugettia producta,1,,,,,,,,,,,,,,,,,
9,CMA,5,7.6,Dusky turban snail,Tegula pulligo,6,,,,,,,,,,,,,,,,,
9,CMA,5,7.6,Graceful kelp crab,Pugettia gracilis,2,,,,,,,,,,,,,,,,,
10,AEA,2,4.8,Northern kelp crab,Pugettia producta,1,,,,,,,,,,,,,,,,,
10,AEA,2,4.8,Northern abalone,Haliotis kamtschatkana,2,,,,,,,,,,,,,,,,,
10,AEA,3,5,Orange sea cucumber,Cucumaria miniata,3,,,,,,,,,,,,,,,,,
10,AEA,3,5,Dusky turban snail,Tegula pulligo,2,,,,,,,,,,,,,,,,,
10,AEA,4,5,Northern abalone,Haliotis kamtschatkana,1,,,,,,,,,,,,,,,,,
10,AEA,4,5,Orange sea cucumber,Cucumaria miniata,3,,,,,,,,,,,,,,,,,
10,CMA,1,4.5,Northern kelp crab,Pugettia producta,1,,,,,,,,,,,,,,,,,
10,CMA,2,4.6,Dusky turban snail,Tegula pulligo,4,,,,,,,,,,,,,,,,,
10,CMA,2,4.6,Northern abalone,Haliotis kamtschatkana,1,,,,,,,,,,,,,,,,,
10,CMA,3,4.8,Dusky turban snail,Tegula pulligo,1,,,,,,,,,,,,,,,,,
11,AEA,1,7.4,Giant sea cucumber,Apostichopus californicus,1,,,,,,,,,,,,,,,,,
11,AEA,1,7.4,Northern kelp crab,Pugettia producta,1,,,,,,,,,,,,,,,,,
11,AEA,2,7,California sea cucumber,Apostichopus californicus,3,,,,,,,,,,,,,,,,,
11,AEA,3,7.1,California sea cucumber,Apostichopus californicus,1,,,,,,,,,,,,,,,,,
11,AEA,4,7.1,California sea cucumber,Apostichopus californicus,2,,,,,,,,,,,,,,,,,
11,AEA,5,7.1,California sea cucumber,Apostichopus californicus,2,,,,,,,,,,,,,,,,,
11,CMA,1,6.1,California sea cucumber,Apostichopus californicus,1,,,,,,,,,,,,,,,,,
11,CMA,1,6.1,Orange sea cucumber,Cucumaria miniata,2,,,,,,,,,,,,,,,,,
11,CMA,2,5.8,California sea cucumber,Apostichopus californicus,2,,,,,,,,,,,,,,,,,
11,CMA,3,6.2,California sea cucumber,Apostichopus californicus,4,,,,,,,,,,,,,,,,,
11,CMA,3,6.2,Orange sea cucumber,Cucumaria miniata,2,,,,,,,,,,,,,,,,,
11,CMA,4,6.4,California sea cucumber,Apostichopus californicus,4,,,,,,,,,,,,,,,,,
11,CMA,4,6.4,Giant rock scallop,Crassadoma gigantea,1,,,,,,,,,,,,,,,,,
11,CMA,5,6.1,California sea cucumber,Apostichopus californicus,4,,,,,,,,,,,,,,,,,
12,AEA,1,3.5,Giant rock scallop,Crassadoma gigantea,2,,,,,,,,,,,,,,,,,
12,AEA,1,3.5,Orange sea cucumber,Cucumaria miniata,1,,,,,,,,,,,,,,,,,
12,AEA,2,3.7,Orange sea cucumber,Cucumaria miniata,6,,,,,,,,,,,,,,,,,
12,AEA,3,3.7,Orange sea cucumber,Cucumaria miniata,3,,,,,,,,,,,,,,,,,
12,AEA,4,3.7,Orange sea cucumber,Cucumaria miniata,3,,,,,,,,,,,,,,,,,
12,AEA,4,3.7,Graceful kelp crab,Pugettia gracilis,2,,,,,,,,,,,,,,,,,
12,AEA,5,3.4,Giant rock scallop,Crassadoma gigantea,3,,,,,,,,,,,,,,,,,
12,AEA,5,3.4,Orange sea cucumber,Cucumaria miniata,2,,,,,,,,,,,,,,,,,
12,CMA,1,3.7,Giant rock scallop,Crassadoma gigantea,5,,,,,,,,,,,,,,,,,
12,CMA,1,3.7,Orange sea cucumber,Cucumaria miniata,8,,,,,,,,,,,,,,,,,
12,CMA,2,3.6,Giant rock scallop,Crassadoma gigantea,7,,,,,,,,,,,,,,,,,
12,CMA,2,3.6,Orange sea cucumber,Cucumaria miniata,4,,,,,,,,,,,,,,,,,
12,CMA,2,3.6,Graceful kelp crab,Pugettia gracilis,1,,,,,,,,,,,,,,,,,
12,CMA,3,3.5,Giant rock scallop,Crassadoma gigantea,2,,,,,,,,,,,,,,,,,
12,CMA,3,3.5,Orange sea cucumber,Henricia spp.,1,,,,,,,,,,,,,,,,,
12,CMA,3,3.5,Blood star,Cucumaria miniata,1,,,,,,,,,,,,,,,,,
12,CMA,4,3.5,Orange sea cucumber,Cucumaria miniata,2,,,,,,,,,,,,,,,,,
12,CMA,4,3.5,Blood star,Henricia spp.,1,,,,,,,,,,,,,,,,,
12,CMA,5,3.6,Giant rock scallop,Crassadoma gigantea,2,,,,,,,,,,,,,,,,,
12,CMA,5,3.6,Orange sea cucumber,Cucumaria miniata,1,,,,,,,,,,,,,,,,,
13,AEA,2,6.1,Sunflower sea star,Pycnopodia helianthoides,1,,,,,,,,,,,,,,,,,
13,AEA,3,6.2,Graceful kelp crab,Pugettia gracilis,1,,,,,,,,,,,,,,,,,
13,AEA,4,5.9,Green sea urchin,Strongylocentrotus droebachiensis,1,,,,,,,,,,,,,,,,,
13,AEA,4,5.9,Purple sea urchin,Strongylocentrotus purpuratus,2,,,,,,,,,,,,,,,,,
13,AEA,4,5.9,Red sea urchin,Mesocentrotus franciscanus,2,,,,,,,,,,,,,,,,,
13,AEA,4,5.9,Dusky turban snail,Tegula pulligo,1,,,,,,,,,,,,,,,,,
13,AEA,5,5.9,Dusky turban snail,Tegula pulligo,1,,,,,,,,,,,,,,,,,
13,CMA,1,5.7,Green sea urchin,Strongylocentrotus droebachiensis,1,,,,,,,,,,,,,,,,,
14,AEA,3,3.1,Purple sea urchin,Strongylocentrotus purpuratus,11,,,,,,,,,,,,,,,,,
14,AEA,3,3.1,Giant rock scallop,Crassadoma gigantea,1,,,,,,,,,,,,,,,,,
14,AEA,3,3.1,Red sea urchin,Mesocentrotus franciscanus,8,,,,,,,,,,,,,,,,,
14,AEA,3,3.1,Gumboot chiton,Cryptochiton stelleri,1,,,,,,,,,,,,,,,,,
14,AEA,3,3.1,Dusky turban snail,Tegula pulligo,3,,,,,,,,,,,,,,,,,
