survey_id,observer,quadrat,depth_m,common_name,size_cm,cryptic_urchin
3,AEA,3,7.5,Purple sea urchin,2.5,1
3,AEA,3,7.5,Purple sea urchin,4.3,1
3,AEA,3,7.5,Purple sea urchin,4.5,1
3,AEA,3,7.5,Purple sea urchin,11,1
3,AEA,3,7.5,Purple sea urchin,13,1
3,AEA,5,6.4,Purple sea urchin,5,1
3,AEA,5,6.4,Purple sea urchin,7,1
3,CMA,1,7.6,Sunflower sea star,2.5,NA
3,CMA,1,7.6,Giant rock scallop,5,NA
4,CMA,1,3.6,Northern abalone,7.5,NA
5,AEA,1,8.7,Purple sea urchin,2.5,0
5,AEA,3,8.8,Purple sea urchin,3,1
5,AEA,3,8.8,Purple sea urchin,4,1
5,AEA,5,6.9,Purple sea urchin,1,1
5,CMA,1,8,Red sea urchin,5,0
5,CMA,1,8,Red sea urchin,5,0
5,CMA,1,8,Red sea urchin,5,0
5,CMA,2,7.3,Northern abalone,5,NA
5,CMA,2,7.3,Northern abalone,7.5,NA
5,CMA,2,7.3,Northern abalone,10,NA
6,AEA,1,3,Northern abalone,7,NA
6,CMA,1,3.8,Northern abalone,7.5,NA
6,CMA,1,3.8,Northern abalone,5,NA
6,CMA,1,3.8,Red sea urchin,7.5,1
6,CMA,1,3.8,Red sea urchin,2.5,1
6,CMA,2,3,Northern abalone,7.5,NA
6,CMA,2,3,Northern abalone,10,NA
6,CMA,3,3.4,Red sea urchin,5,1
6,CMA,3,3.4,Red sea urchin,10,1
6,CMA,3,3.4,Giant rock scallop,12.5,NA
6,CMA,3,3.4,Purple sea urchin,5,0
6,CMA,4,3.4,Northern abalone,7.5,NA
6,CMA,4,3.4,Red sea urchin,7.5,1
6,CMA,4,3.4,Purple sea urchin,5,1
6,CMA,4,3.4,Purple sea urchin,7.5,1
7,CMA,1,7.9,Green sea urchin,2.5,0
8,AEA,4,4.7,Green sea urchin,1.2,0
8,AEA,4,4.7,Green sea urchin,11,0
8,AEA,4,4.7,Purple sea urchin,2.5,1
8,AEA,4,4.7,Purple sea urchin,2.8,1
8,AEA,4,4.7,Purple sea urchin,3.4,1
8,AEA,4,4.7,Purple sea urchin,4.4,1
8,CMA,1,4.8,Sunflower sea star,5,NA
8,CMA,3,4.5,Northern abalone,7.5,NA
9,CMA,1,6.8,Red sea urchin,15,1
9,CMA,1,6.8,Red sea urchin,15,1
9,CMA,1,6.8,Red sea urchin,7.5,1
10,AEA,2,4.8,Northern abalone,11.5,NA
10,AEA,2,4.8,Northern abalone,12.3,NA
10,AEA,4,5,Northern abalone,11,NA
10,CMA,2,4.6,Northern abalone,12.5,NA
11,AEA,1,7.4,California sea cucumber,23,NA
11,AEA,2,7,California sea cucumber,18,NA
11,AEA,2,7,California sea cucumber,32,NA
11,AEA,2,7,California sea cucumber,30,NA
11,AEA,3,7.1,California sea cucumber,34,NA
11,AEA,4,7.1,California sea cucumber,25,NA
11,AEA,4,7.1,California sea cucumber,15,NA
11,AEA,5,7.1,California sea cucumber,32,NA
11,AEA,5,7.1,California sea cucumber,31,NA
11,CMA,4,6.4,Giant rock scallop,10,NA
12,CMA,1,3.7,Giant rock scallop,12,NA
12,CMA,1,3.7,Giant rock scallop,10,NA
12,CMA,1,3.7,Giant rock scallop,15,NA
12,CMA,1,3.7,Giant rock scallop,13,NA
12,CMA,1,3.7,Giant rock scallop,15,NA
12,CMA,2,3.6,Giant rock scallop,9,NA
12,CMA,2,3.6,Giant rock scallop,10,NA
12,CMA,2,3.6,Giant rock scallop,15,NA
12,CMA,2,3.6,Giant rock scallop,14,NA
12,CMA,2,3.6,Giant rock scallop,7,NA
12,CMA,2,3.6,Giant rock scallop,10,NA
12,CMA,2,3.6,Giant rock scallop,10,NA
12,CMA,3,3.5,Giant rock scallop,13,NA
12,CMA,3,3.5,Giant rock scallop,17,NA
12,CMA,5,3.6,Giant rock scallop,9.5,NA
12,CMA,5,3.6,Giant rock scallop,18,NA
12,CMA,5,3.6,Giant rock scallop,5,NA
13,AEA,2,6.1,Sunflower sea star,11,NA
13,AEA,4,5.9,Green sea urchin,12.5,0
13,AEA,4,5.9,Purple sea urchin,14,0
13,AEA,4,5.9,Purple sea urchin,13,0
13,AEA,4,5.9,Red sea urchin,8.5,0
13,AEA,4,5.9,Red sea urchin,12.5,0
13,CMA,1,5.7,Green sea urchin,10,0
14,AEA,3,3.1,Purple sea urchin,15,0
14,AEA,3,3.1,Purple sea urchin,13,0
14,AEA,3,3.1,Purple sea urchin,14,0
14,AEA,3,3.1,Purple sea urchin,10,0
14,AEA,3,3.1,Purple sea urchin,14,0
14,AEA,3,3.1,Purple sea urchin,13,0
14,AEA,3,3.1,Purple sea urchin,10,0
14,AEA,3,3.1,Purple sea urchin,8,0
14,AEA,3,3.1,Purple sea urchin,9,0
14,AEA,3,3.1,Purple sea urchin,14,0
14,AEA,3,3.1,Purple sea urchin,11,0
14,AEA,3,3.1,Red sea urchin,13,0
14,AEA,3,3.1,Red sea urchin,14,0
14,AEA,3,3.1,Red sea urchin,12,0
14,AEA,3,3.1,Red sea urchin,16,0
14,AEA,3,3.1,Red sea urchin,8,0
14,AEA,3,3.1,Red sea urchin,12,0
14,AEA,3,3.1,Red sea urchin,14,0
14,AEA,3,3.1,Red sea urchin,14,0
14,AEA,5,3.4,Purple sea urchin,12,0
14,AEA,5,3.4,Purple sea urchin,13,0
14,AEA,5,3.4,Red sea urchin,15,0
14,AEA,5,3.4,Red sea urchin,14,0
14,CMA,1,3.5,Green sea urchin,6,0
14,CMA,1,3.5,Green sea urchin,7,0
14,CMA,3,3.3,Red sea urchin,11,0
14,CMA,3,3.3,Red sea urchin,11,0
14,CMA,3,3.3,Red sea urchin,12,0
14,CMA,3,3.3,Red sea urchin,10,0
14,CMA,3,3.3,Red sea urchin,10,0
14,CMA,3,3.3,Red sea urchin,14,0
14,CMA,3,3.3,Red sea urchin,11,0
14,CMA,3,3.3,Red sea urchin,13,0
14,CMA,3,3.3,Red sea urchin,10,0
14,CMA,3,3.3,Red sea urchin,11,0
14,CMA,3,3.3,Green sea urchin,7,0
14,CMA,3,3.3,Green sea urchin,6,0
14,CMA,3,3.3,Purple sea urchin,8,0
14,CMA,3,3.3,Purple sea urchin,8,0
14,CMA,3,3.3,Purple sea urchin,8,0
14,CMA,3,3.3,Purple sea urchin,9,0
14,CMA,3,3.3,Purple sea urchin,9,0
14,CMA,3,3.3,Purple sea urchin,10,0
14,CMA,3,3.3,Purple sea urchin,9,0
14,CMA,3,3.3,Purple sea urchin,8,0
14,CMA,3,3.3,Purple sea urchin,7,0
14,CMA,3,3.3,Purple sea urchin,4,0
14,CMA,3,3.3,Purple sea urchin,11,0
14,CMA,3,3.3,Purple sea urchin,12,0
14,CMA,4,3.1,Red sea urchin,9,1
15,AEA,1,6.3,Green sea urchin,1.5,0
15,AEA,1,6.3,Green sea urchin,1,0
15,AEA,1,6.3,Green sea urchin,1.5,0
19,AEA,3,7.1,Green sea urchin,1.5,0
19,AEA,3,7.1,Green sea urchin,2,0
19,AEA,3,7.1,California sea cucumber,28,NA
19,AEA,3,7.1,California sea cucumber,35,NA
15,AEA,3,7.1,California sea cucumber,32,NA
15,AEA,3,7.1,Sunflower sea star,9,NA
15,AEA,4,7.2,Green sea urchin,1,0
15,AEA,4,7.2,Green sea urchin,1.5,0
15,AEA,4,7.2,Green sea urchin,1,0
15,AEA,4,7.2,Green sea urchin,1,0
15,AEA,4,7.2,Green sea urchin,0.5,0
15,AEA,4,7.2,Green sea urchin,1,0
15,AEA,5,7.1,Green sea urchin,1,0
15,AEA,5,7.1,Green sea urchin,1,0
15,AEA,5,7.1,Green sea urchin,1,0
15,AEA,5,7.1,Red sea urchin,46,NA
15,CMA,1,6.8,Green sea urchin,2,0
15,CMA,1,6.8,Sunflower sea star,11,NA
15,CMA,2,7.2,Green sea urchin,3.5,0
15,CMA,2,7.2,Green sea urchin,1,0
15,CMA,2,7.2,Green sea urchin,2.5,0
15,CMA,2,7.2,Green sea urchin,1,0
15,CMA,2,7.2,Sunflower sea star,7.5,NA
15,CMA,2,7.2,Sunflower sea star,5,NA
15,CMA,3,6.9,Red sea urchin,13,0
15,CMA,3,6.9,California sea cucumber,21,NA
15,CMA,4,7.3,Green sea urchin,1,0
15,CMA,4,7.3,Green sea urchin,1,0
15,CMA,4,7.3,Green sea urchin,1,0
15,CMA,4,7.3,Green sea urchin,1,0
15,CMA,4,7.3,Green sea urchin,1,0
15,CMA,4,7.3,Green sea urchin,2,0
15,CMA,4,7.3,Green sea urchin,2,0
15,CMA,4,7.3,Green sea urchin,1,0
15,CMA,4,7.3,Green sea urchin,1.5,0
15,CMA,4,7.3,Green sea urchin,1,0
15,CMA,4,7.3,Green sea urchin,0.5,0
15,CMA,4,7.3,Green sea urchin,2,0
15,CMA,5,6.9,Green sea urchin,1,0
15,CMA,5,6.9,Green sea urchin,1,0
15,CMA,5,6.9,Green sea urchin,4,0
15,CMA,5,6.9,Green sea urchin,1,0
15,CMA,5,6.9,Green sea urchin,2,0
15,CMA,5,6.9,Green sea urchin,0.5,0
15,CMA,5,6.9,Green sea urchin,1,0
15,CMA,5,6.9,Green sea urchin,1,0
15,CMA,5,6.9,California sea cucumber,31,NA
15,CMA,5,6.9,California sea cucumber,33,NA
16,AEA,2,5.1,California sea cucumber,21,NA
16,AEA,3,5.9,Red sea urchin,18,0
16,AEA,5,5.2,California sea cucumber,32,NA
16,AEA,5,5.2,California sea cucumber,33,NA
16,AEA,5,5.2,California sea cucumber,40,NA
16,AEA,5,5.2,California sea cucumber,35,NA
16,CMA,1,4.6,Red sea urchin,17,0
16,CMA,1,4.6,Sunflower sea star,8,NA
16,CMA,2,4.8,Green sea urchin,2,0
16,CMA,2,4.8,Green sea urchin,1,0
16,CMA,2,4.8,Green sea urchin,1,0
16,CMA,3,5.4,Red sea urchin,18,0
16,CMA,3,5.4,Red sea urchin,13,0
16,CMA,3,5.4,California sea cucumber,37,NA
16,CMA,4,5.7,Green sea urchin,1,0
16,CMA,4,5.7,Green sea urchin,1.5,0
16,CMA,5,4.9,Green sea urchin,1,0
16,CMA,5,4.9,Green sea urchin,1,0
16,CMA,5,4.9,Green sea urchin,1,0
16,CMA,5,4.9,Green sea urchin,2.5,0
17,AEA,4,8.3,California sea cucumber,38,NA
17,AEA,4,8.3,Purple sea urchin,15,NA
17,AEA,4,8.3,Purple sea urchin,14,NA
17,AEA,4,8.3,Purple sea urchin,15,NA
17,AEA,4,8.3,Purple sea urchin,12,NA
17,AEA,4,8.3,Red sea urchin,16,NA
17,CMA,1,7.9,California sea cucumber,36,NA
17,CMA,2,7.9,California sea cucumber,38,NA
17,CMA,3,7.7,Red sea urchin,10,0
17,CMA,3,7.7,Red sea urchin,17,1
17,CMA,3,7.7,Red sea urchin,15,1
17,CMA,3,7.7,Red sea urchin,15,0
17,CMA,3,7.7,Red sea urchin,9,0
17,CMA,3,7.7,Red sea urchin,18,0
17,CMA,4,8,Sunflower sea star,8,NA
17,CMA,4,8,Green sea urchin,1,0
17,CMA,4,8,Green sea urchin,2,0
19,CMA,2,5.8,Red sea urchin,19,0
19,CMA,3,5.9,Green sea urchin,0.5,0
19,CMA,3,5.9,Green sea urchin,1,0
19,CMA,3,5.9,California sea cucumber,33,NA
19,CMA,3,5.9,California sea cucumber,34,NA
19,CMA,3,5.9,California sea cucumber,29,NA
19,CMA,4,6.6,Green sea urchin,9.5,0
19,CMA,4,6.6,California sea cucumber,20,NA
19,CMA,4,6.6,California sea cucumber,29,NA
19,CMA,5,5.7,Red sea urchin,10,0
19,CMA,5,5.7,Red sea urchin,11,0
19,CMA,5,5.7,Red sea urchin,10,0
19,CMA,5,5.7,Red sea urchin,15,0
19,CMA,5,5.7,Red sea urchin,15,0
19,CMA,5,5.7,Green sea urchin,6.5,0
20,CMA,2,3.7,California sea cucumber,25,NA
20,CMA,3,3.4,California sea cucumber,27,NA
20,CMA,3,3.4,California sea cucumber,30,NA
20,CMA,5,3.8,California sea cucumber,30,NA
20,CMA,5,3.8,Red sea urchin,14,0
18,AEA,3,3.5,Purple sea urchin,11,0
18,AEA,3,3.5,Purple sea urchin,10,1
18,AEA,4,3.9,Red sea urchin,12,1
18,AEA,5,4.1,Purple sea urchin,14,1
20,AEA,5,3.8,Purple sea urchin,8,0
18,CMA,4,3.8,Green sea urchin,0.5,0
18,CMA,4,3.8,Green sea urchin,1,0
18,CMA,5,4,Sunflower sea star,6,NA
18,CMA,5,4,Red sea urchin,17,0
19,AEA,1,6,California sea cucumber,32,NA
19,AEA,2,6.8,California sea cucumber,29,NA
19,AEA,3,6.4,Purple sea urchin,9,0
19,AEA,3,6.4,Purple sea urchin,9,0
19,AEA,3,6.4,Purple sea urchin,10,0
19,AEA,3,6.4,Purple sea urchin,6,0
19,AEA,3,6.4,Red sea urchin,2,1
19,AEA,3,6.4,Green sea urchin,7,0
19,AEA,3,6.4,Green sea urchin,8,0
19,AEA,3,6.4,Green sea urchin,7,0
21,CMA,2,5.8,Sunflower sea star,3.5,NA
21,CMA,2,5.8,Sunflower sea star,2,NA
21,CMA,2,5.8,California sea cucumber,33,NA
22,AEA,1,3.8,Sunflower sea star,1.5,NA
23,AEA,2,8,Red sea urchin,10,1
24,CMA,2,5.2,Green sea urchin,8,0
24,AEA,4,5.5,Green sea urchin,5,1
25,CMA,3,8.3,Red sea urchin,7,1
25,CMA,3,8.3,Red sea urchin,11,1
25,AEA,1,8.8,California sea cucumber,48,NA
26,CMA,2,5.9,Red sea urchin,4,0
27,AEA,1,7.8,Red sea urchin,10,0
27,AEA,1,7.8,Purple sea urchin,12,1
27,AEA,2,7.6,Purple sea urchin,10,0
27,AEA,2,7.6,Purple sea urchin,2,0
27,AEA,2,7.6,Purple sea urchin,10,0
27,AEA,2,7.6,Purple sea urchin,7,0
27,AEA,2,7.6,Purple sea urchin,10,0
27,AEA,2,7.6,Green sea urchin,8,0
27,AEA,2,7.6,Green sea urchin,7,0
27,AEA,2,7.6,Green sea urchin,6,0
27,AEA,3,7.7,Red sea urchin,13,0
27,AEA,3,7.7,Red sea urchin,8,0
27,AEA,3,7.7,Purple sea urchin,15,0
27,AEA,3,7.7,Purple sea urchin,6,0
27,AEA,3,7.7,Purple sea urchin,11,0
27,AEA,3,7.7,Purple sea urchin,9,0
27,AEA,3,7.7,Green sea urchin,7,1
27,AEA,3,7.7,Green sea urchin,8,1
27,AEA,3,7.7,Green sea urchin,6,1
27,AEA,3,7.7,Green sea urchin,9,1
27,AEA,3,7.7,California sea cucumber,31,NA
27,AEA,4,8.1,Purple sea urchin,7,0
27,AEA,4,8.1,Purple sea urchin,4,0
27,AEA,4,8.1,Purple sea urchin,3,0
27,AEA,4,8.1,Purple sea urchin,3,0
27,AEA,5,7.8,Red sea urchin,12,0
27,AEA,5,7.8,Red sea urchin,12,0
27,AEA,5,7.8,Red sea urchin,13,0
27,AEA,5,7.8,Red sea urchin,13,0
27,AEA,5,7.8,Red sea urchin,12,0
27,AEA,5,7.8,Red sea urchin,15,0
27,AEA,5,7.8,Red sea urchin,11,0
27,AEA,5,7.8,Green sea urchin,13,0
27,AEA,5,7.8,Green sea urchin,13,0
27,AEA,5,7.8,Green sea urchin,10,0
27,AEA,5,7.8,Green sea urchin,13,0
27,AEA,5,7.8,Green sea urchin,11,0
27,AEA,5,7.8,Green sea urchin,12,0
27,AEA,5,7.8,Green sea urchin,12,0
27,AEA,5,7.8,Green sea urchin,12,0
27,AEA,5,7.8,Green sea urchin,6,0
27,AEA,5,7.8,California sea cucumber,38,0
27,CMA,1,7.8,California sea cucumber,32,NA
27,CMA,1,7.8,California sea cucumber,34,NA
27,CMA,2,7.6,Red sea urchin,13,0
27,CMA,2,7.6,Red sea urchin,12,0
27,CMA,2,7.6,Purple sea urchin,8,0
27,CMA,2,7.6,Northern abalone,10,NA
27,CMA,3,7.5,California sea cucumber,45,NA
27,CMA,3,7.5,California sea cucumber,39,NA
27,CMA,3,7.5,California sea cucumber,33,NA
27,CMA,3,7.5,Red sea urchin,9,0
27,CMA,3,7.5,Red sea urchin,12,0
27,CMA,3,7.5,Red sea urchin,10,0
27,CMA,3,7.5,Red sea urchin,9,0
27,CMA,3,7.5,Red sea urchin,11,1
27,CMA,3,7.5,Purple sea urchin,11,0
27,CMA,3,7.5,Northern abalone,7.5,NA
27,CMA,4,8.1,Red sea urchin,16,1
27,CMA,4,8.1,Red sea urchin,14,1
27,CMA,4,8.1,Red sea urchin,4,1
27,CMA,4,8.1,Purple sea urchin,12,1
27,CMA,4,8.1,Green sea urchin,7,0
27,CMA,5,7.8,California sea cucumber,36,NA
29,AEA,3,3.2,Green sea urchin,5,1
29,AEA,3,3.2,Green sea urchin,4,1
