survey_id,observer,quadrat,quadrat_depth_m,mud_silt,sand,pebble,cobble,boulder,rockface,turf,eelgrass
1,AEA,1,4.8,0,30,20,30,20,0,0,0
1,AEA,2,4.4,0,40,20,0,40,0,0,0
1,AEA,3,4.4,0,60,30,0,10,0,0,0
1,AEA,4,4.4,0,80,0,10,10,0,0,0
1,AEA,5,4.1,0,60,0,30,10,0,0,0
1,CMA,1,4.6,0,90,0,5,5,0,0,0
1,CMA,2,4.4,0,80,0,0,20,0,0,0
1,CMA,3,4.4,0,80,5,5,10,0,0,0
1,CMA,4,4.1,0,40,0,10,50,0,0,0
1,CMA,5,4.1,0,70,0,0,20,0,0,0
2,AEA,1,2.3,0,50,20,20,0,0,0,0
2,AEA,2,2.1,0,50,10,0,40,0,0,0
2,AEA,3,1.9,0,80,0,20,0,0,0,0
2,AEA,4,1.9,0,30,0,0,70,0,0,0
2,AEA,5,1.9,0,70,0,20,10,0,0,0
2,CMA,1,2,0,60,0,0,30,0,10,0
2,CMA,2,1.9,0,50,0,0,40,0,10,0
2,CMA,3,1.7,0,75,0,0,20,0,5,0
2,CMA,4,1.7,0,20,0,0,80,0,0,0
2,CMA,5,1.6,0,90,0,10,0,0,0,0
3,AEA,1,8.6,0,0,0,70,20,0,0,0
3,AEA,2,8.2,0,20,0,80,0,0,0,0
3,AEA,3,7.5,0,10,0,20,0,70,0,0
3,AEA,4,7,0,10,10,30,50,0,0,0
3,AEA,5,6.4,0,10,0,10,60,20,0,0
3,CMA,1,7.6,0,10,10,30,50,0,0,0
3,CMA,2,7.6,0,0,0,30,40,30,0,0
3,CMA,3,7.2,0,20,0,40,30,0,10,0
3,CMA,4,6.8,0,30,0,30,10,0,0,0
3,CMA,5,7,0,0,0,0,0,100,0,0
4,AEA,1,4.1,0,10,0,0,90,0,0,0
4,AEA,2,3.7,0,10,0,0,80,10,0,0
4,AEA,3,3.6,0,20,0,0,50,30,0,0
4,AEA,4,3.7,0,10,0,0,90,0,0,0
4,AEA,5,3.4,0,0,0,0,20,80,0,0
4,CMA,1,3.6,0,10,0,30,60,0,0,0
4,CMA,2,3.5,0,0,0,0,10,90,0,0
4,CMA,3,3.7,0,0,0,0,20,80,0,0
4,CMA,4,3.7,0,0,0,0,30,70,0,0
4,CMA,5,3.5,0,10,0,60,30,0,0,0
5,AEA,1,8.7,0,30,0,20,50,0,0,0
5,AEA,2,8.9,0,0,0,0,0,100,0,0
5,AEA,3,8.8,0,10,10,0,80,0,0,0
5,AEA,4,6.6,0,0,0,0,10,90,0,0
5,AEA,5,6.9,0,0,0,0,0,100,0,0
5,CMA,1,8,0,30,0,0,20,50,0,0
5,CMA,2,7.3,0,0,0,0,0,100,0,0
5,CMA,3,7.4,0,30,0,10,0,60,0,0
5,CMA,4,7.2,0,10,0,10,20,60,0,0
5,CMA,5,7.4,0,0,0,0,0,100,0,0
6,AEA,1,3,0,0,0,0,10,90,0,0
6,AEA,2,2.9,0,0,0,0,0,100,0,0
6,AEA,3,2.5,0,0,0,0,0,100,0,0
6,AEA,4,3,0,0,0,0,10,90,0,0
6,AEA,5,3,0,0,0,0,0,100,0,0
6,CMA,1,3.8,0,0,0,0,40,60,0,0
6,CMA,2,3,0,10,0,0,0,90,0,0
6,CMA,3,3.4,0,0,0,0,0,100,0,0
6,CMA,4,3.4,0,0,0,0,80,20,0,0
6,CMA,5,3.7,0,20,0,0,80,0,0,0
7,AEA,1,8.2,0,20,0,40,40,0,0,0
7,AEA,2,8.4,0,10,0,20,70,0,0,0
7,AEA,3,8.4,0,40,0,0,60,0,0,0
7,AEA,4,8.5,0,30,0,0,70,0,0,0
7,AEA,5,8.5,0,30,0,30,40,0,0,0
7,CMA,1,7.9,0,60,10,10,20,0,0,0
7,CMA,2,8,0,30,10,20,40,0,0,0
7,CMA,3,8.2,0,20,0,20,60,0,0,0
7,CMA,4,8.2,0,25,0,15,60,0,0,0
7,CMA,5,8.3,0,30,10,30,30,0,0,0
8,AEA,1,4.9,0,0,0,60,40,0,0,0
8,AEA,2,5.8,0,0,30,10,60,0,0,0
8,AEA,3,5.1,0,0,10,40,50,0,0,0
8,AEA,4,4.7,0,0,0,30,70,0,0,0
8,AEA,5,4.5,0,5,25,10,60,0,0,0
8,CMA,1,4.8,0,5,30,40,25,0,0,0
8,CMA,2,4.8,0,10,0,20,70,0,0,0
8,CMA,3,4.5,0,10,10,0,0,80,0,0
8,CMA,4,4.4,0,10,0,0,0,90,0,0
8,CMA,5,4.2,0,0,0,10,10,80,0,0
9,AEA,1,7.1,0,0,30,70,0,0,0,0
9,AEA,2,7.2,0,0,50,30,20,0,0,0
9,AEA,3,7.3,0,0,10,60,30,0,0,0
9,AEA,4,7.5,0,0,40,20,40,0,0,0
9,AEA,5,7.8,0,10,60,30,0,0,0,0
9,CMA,1,6.8,0,0,40,30,30,0,0,0
9,CMA,2,7,0,0,20,30,50,0,0,0
9,CMA,3,7.4,0,0,25,25,0,50,0,0
9,CMA,4,7.5,0,0,80,20,0,0,0,0
9,CMA,5,7.6,0,10,30,20,40,0,0,0
10,AEA,1,4.9,0,0,60,0,40,0,0,0
10,AEA,2,4.8,0,0,40,10,50,0,0,0
10,AEA,3,5,0,0,0,20,80,0,0,0
10,AEA,4,5,0,0,10,30,60,0,0,0
10,AEA,5,5.3,0,0,40,60,0,0,0,0
10,CMA,1,4.5,0,0,90,10,0,0,0,0
10,CMA,2,4.6,0,0,30,30,40,0,0,0
10,CMA,3,4.8,0,0,0,60,40,0,0,0
10,CMA,4,5.1,0,0,60,10,30,0,0,0
10,CMA,5,5.4,0,20,60,20,0,0,0,0
11,AEA,1,7.4,30,0,10,0,60,0,0,0
11,AEA,2,7,50,0,10,0,40,0,0,0
11,AEA,3,7.1,30,0,0,0,70,0,0,0
11,AEA,4,7.1,20,0,0,0,80,0,0,0
11,AEA,5,7.1,70,0,0,0,30,0,0,0
11,CMA,1,6.1,40,0,0,0,60,0,0,0
11,CMA,2,5.8,60,10,0,0,10,20,0,0
11,CMA,3,6.2,60,0,0,0,40,0,0,0
11,CMA,4,6.4,10,60,0,0,30,0,0,0
11,CMA,5,6.1,10,40,0,0,50,0,0,0
12,AEA,1,3.5,0,0,0,0,100,0,0,0
12,AEA,2,3.7,0,10,0,0,90,0,0,0
12,AEA,3,3.7,0,0,0,0,100,0,0,0
12,AEA,4,3.7,0,10,0,0,90,0,0,0
12,AEA,5,3.4,0,0,0,0,100,0,0,0
12,CMA,1,3.7,0,0,0,0,70,30,0,0
12,CMA,2,3.6,10,0,0,0,90,0,0,0
12,CMA,3,3.5,0,0,0,0,100,0,0,0
12,CMA,4,3.5,20,0,0,0,80,0,0,0
12,CMA,5,3.6,0,0,0,0,100,0,0,0
13,AEA,1,6,0,0,40,60,0,0,0,0
13,AEA,2,6.1,0,0,50,50,0,0,0,0
13,AEA,3,6.2,0,0,30,70,0,0,0,0
13,AEA,4,5.9,0,0,20,50,0,30,0,0
13,AEA,5,5.9,0,0,30,40,30,0,0,0
13,CMA,1,5.7,0,0,90,10,0,0,0,0
13,CMA,2,5.9,0,10,60,0,30,0,0,0
13,CMA,3,6,0,0,90,10,0,0,0,0
13,CMA,4,6.2,0,0,80,10,10,0,0,0
13,CMA,5,6.2,0,0,80,20,0,0,0,0
14,AEA,1,3.9,0,20,10,20,0,50,0,0
14,AEA,2,3.6,0,10,0,0,30,60,0,0
14,AEA,3,3.1,0,0,0,0,0,100,0,0
14,AEA,4,3.3,0,0,10,20,0,70,0,0
14,AEA,5,3.4,0,10,0,40,0,50,0,0
14,CMA,1,3.5,0,10,70,0,20,0,0,0
14,CMA,2,3.5,0,0,30,30,40,0,0,0
14,CMA,3,3.3,0,0,10,0,0,90,0,0
14,CMA,4,3.1,0,0,20,0,0,80,0,0
14,CMA,5,3.4,0,0,40,0,40,20,0,0
15,AEA,1,6.3,0,60,0,0,40,0,0,0
15,AEA,2,6.7,0,70,0,0,30,0,0,0
15,AEA,3,7.1,0,30,0,0,70,0,0,0
15,AEA,4,7.2,0,10,0,0,90,0,0,0
15,AEA,5,7.1,0,10,0,0,90,0,0,0
15,CMA,1,6.8,0,0,30,0,70,0,0,0
15,CMA,2,7.2,20,0,0,0,20,60,0,0
15,CMA,3,6.9,10,0,0,0,90,0,0,0
15,CMA,4,7.3,0,0,0,10,90,0,0,0
15,CMA,5,6.9,10,10,0,20,60,0,0,0
16,AEA,1,5.5,0,0,0,0,0,100,0,0
16,AEA,2,5.1,0,0,0,0,0,100,0,0
16,AEA,3,5.9,0,0,0,0,0,100,0,0
16,AEA,4,4.9,0,0,0,0,0,100,0,0
16,AEA,5,5.2,0,0,0,0,0,100,0,0
16,CMA,1,4.6,0,0,0,0,0,100,0,0
16,CMA,2,4.8,20,0,0,0,0,80,0,0
16,CMA,3,5.4,0,0,0,0,20,80,0,0
16,CMA,4,5.7,0,0,0,0,0,100,0,0
16,CMA,5,4.9,0,0,0,0,0,100,0,0
19,AEA,1,6,0,0,0,20,20,60,0,0
19,AEA,2,6.8,0,0,0,0,0,100,0,0
19,AEA,3,6.4,0,0,0,0,80,20,0,0
19,AEA,4,6.2,0,0,0,30,70,0,0,0
19,AEA,5,6.6,0,20,0,0,80,0,0,0
17,AEA,1,8.2,0,10,0,30,60,0,0,0
17,AEA,2,8,0,20,0,0,80,0,0,0
17,AEA,3,7.8,0,10,0,0,90,0,0,0
17,AEA,4,8.3,0,0,10,0,90,0,0,0
17,AEA,5,8.4,0,40,0,0,60,0,0,0
19,CMA,1,6.3,0,0,0,0,0,100,0,0
19,CMA,2,5.8,0,0,0,40,60,0,0,0
19,CMA,3,5.9,20,0,0,50,30,0,0,0
19,CMA,4,6.6,20,0,20,20,40,0,0,0
19,CMA,5,5.7,10,0,10,30,50,0,0,0
17,CMA,1,7.9,10,0,0,0,90,0,0,0
17,CMA,2,7.9,20,0,0,0,80,0,0,0
17,CMA,3,7.7,5,0,0,10,85,0,0,0
17,CMA,4,8,20,0,0,0,80,0,0,0
17,CMA,5,8.1,40,0,0,10,50,0,0,0
20,CMA,1,3.9,0,0,0,0,100,0,0,0
20,CMA,2,3.7,0,0,0,0,100,0,0,0
20,CMA,3,3.4,0,0,0,0,100,0,0,0
20,CMA,4,3.3,0,10,0,0,10,80,0,0
20,CMA,5,3.8,30,0,0,50,20,0,0,0
20,AEA,1,3.9,0,0,0,0,100,0,0,0
20,AEA,2,3.9,0,0,0,0,100,0,0,0
20,AEA,3,3.8,0,0,0,0,100,0,0,0
20,AEA,4,3.6,0,0,0,0,20,80,0,0
20,AEA,5,3.8,0,30,0,10,60,0,0,0
18,AEA,1,3,0,10,0,0,90,0,0,0
18,AEA,2,3.8,0,0,0,30,70,0,0,0
18,AEA,3,3.5,0,0,0,10,90,0,0,0
18,AEA,4,3.9,0,0,0,0,100,0,0,0
18,AEA,5,4.1,0,20,0,0,80,0,0,0
18,CMA,1,3.7,0,0,0,10,90,0,0,0
18,CMA,2,3.6,0,10,0,20,70,0,0,0
18,CMA,3,3.8,0,0,0,0,100,0,0,0
18,CMA,4,3.8,0,10,0,0,90,0,0,0
18,CMA,5,4,0,10,0,20,70,0,0,0
21,CMA,1,5.9,0,40,0,0,40,10,10,0
21,CMA,2,5.8,0,60,25,0,15,0,0,0
21,CMA,3,5.6,0,60,10,10,20,0,0,0
21,CMA,4,5.6,0,50,20,0,30,0,0,0
21,CMA,5,5.9,0,40,10,10,40,0,0,0
21,AEA,1,6.2,0,70,0,0,30,0,0,0
21,AEA,2,6,0,40,30,0,30,0,0,0
21,AEA,3,5.4,0,10,0,0,90,0,0,0
21,AEA,4,6.1,0,10,0,0,90,0,0,0
21,AEA,5,6,0,10,20,0,70,0,0,0
22,CMA,1,3.1,35,20,5,10,30,0,0,0
22,CMA,2,3.1,5,25,0,10,60,0,0,0
22,CMA,3,2.8,5,25,0,0,70,0,0,0
22,CMA,4,2.7,10,50,0,10,30,0,0,0
22,CMA,5,2.8,0,40,0,20,40,0,0,0
22,AEA,1,3.8,0,30,0,0,70,0,0,0
22,AEA,2,3.5,0,60,0,10,30,0,0,0
22,AEA,3,3.1,0,20,0,0,80,0,0,0
22,AEA,4,3,0,30,0,0,70,0,0,0
22,AEA,5,3,0,20,10,0,70,0,0,0
23,CMA,1,7.8,0,0,20,10,40,30,0,0
23,CMA,2,7.6,0,0,0,10,70,20,0,0
23,CMA,3,7.3,0,20,0,10,70,0,0,0
23,CMA,4,7.2,0,30,30,0,40,0,0,0
23,CMA,5,6.8,0,30,20,0,20,30,0,0
23,AEA,1,8.2,0,10,20,10,60,0,0,0
23,AEA,2,8,0,40,0,10,60,0,0,0
23,AEA,3,7,0,50,10,0,40,0,0,0
23,AEA,4,7.1,0,20,10,10,60,0,0,0
23,AEA,5,6.8,0,50,5,5,40,0,0,0
24,CMA,1,5.2,0,30,0,20,50,0,0,0
24,CMA,2,5.2,0,25,25,30,20,0,0,0
24,CMA,3,5.1,0,40,0,20,40,0,0,0
24,CMA,4,5,0,35,20,40,5,0,0,0
24,CMA,5,5.1,0,10,0,80,10,0,0,0
24,AEA,1,5.5,0,20,10,10,60,0,0,0
24,AEA,2,5,0,60,5,0,35,0,0,0
24,AEA,3,5.1,0,50,10,0,40,0,0,0
24,AEA,4,5.5,0,20,20,10,50,0,0,0
24,AEA,5,5.4,0,10,40,10,40,0,0,0
25,CMA,1,8.2,20,30,20,10,20,0,0,0
25,CMA,2,8.2,60,30,0,10,0,0,0,0
25,CMA,3,8.3,30,20,0,20,30,0,0,0
25,CMA,4,8,40,10,0,20,30,0,0,0
25,CMA,5,8.1,40,0,0,30,30,0,0,0
25,AEA,1,8.8,0,20,0,0,80,0,0,0
25,AEA,2,8.6,0,90,0,10,0,0,0,0
25,AEA,3,8.5,0,95,5,0,0,0,0,0
25,AEA,4,8.5,0,30,10,5,55,0,0,0
25,AEA,5,8.1,0,25,5,0,70,0,0,0
26,CMA,1,5.9,50,30,0,0,20,0,0,0
26,CMA,2,5.9,60,0,0,20,20,0,0,0
26,CMA,3,6,30,0,10,10,50,0,0,0
26,CMA,4,6.3,30,10,0,20,40,0,0,0
26,CMA,5,5.8,60,0,20,20,0,0,0,0
26,AEA,1,6.3,0,25,5,0,70,0,0,0
26,AEA,2,6.4,0,20,10,0,70,0,0,0
26,AEA,3,6.5,0,15,5,5,75,0,0,0
26,AEA,4,6.6,0,30,5,0,65,0,0,0
26,AEA,5,6.9,0,90,0,10,0,0,0,0
27,AEA,1,7.8,0,40,20,30,10,0,0,0
27,AEA,2,7.6,0,20,30,30,20,0,0,0
27,AEA,3,7.7,0,50,10,10,30,0,0,0
27,AEA,4,8.1,0,10,20,20,50,0,0,0
27,AEA,5,7.8,0,0,10,30,60,0,0,0
27,CMA,1,7.8,20,0,20,20,40,0,0,0
27,CMA,2,7.6,10,0,0,20,70,0,0,0
27,CMA,3,7.5,10,0,0,20,70,0,0,0
27,CMA,4,8.1,10,20,20,10,40,0,0,0
27,CMA,5,7.8,10,40,25,10,15,0,0,0
28,AEA,1,5.5,0,70,5,0,25,0,0,0
28,AEA,2,5.7,0,75,10,5,10,0,0,0
28,AEA,3,5.6,0,70,5,5,20,0,0,0
28,AEA,4,5.8,0,50,10,15,25,0,0,0
28,AEA,5,6,0,90,5,5,0,0,0,0
28,CMA,1,5.5,0,95,0,5,0,0,0,0
28,CMA,2,5.6,0,60,15,10,15,0,0,0
28,CMA,3,5.8,0,45,,25,30,0,0,0
28,CMA,4,5.8,0,50,0,15,35,0,0,0
28,CMA,5,5.7,0,60,10,10,20,0,0,0
29,AEA,1,3,0,40,15,15,30,0,0,0
29,AEA,2,3.2,0,30,20,20,30,0,0,0
29,AEA,3,3.2,0,20,5,25,50,0,0,0
29,AEA,4,3.3,0,20,10,50,10,0,0,0
29,AEA,5,3.4,0,20,10,40,20,0,0,0
29,CMA,1,2.8,0,30,0,20,50,0,0,0
29,CMA,2,2.5,0,20,10,30,40,0,0,0
29,CMA,3,2.5,0,20,10,20,50,0,0,0
29,CMA,4,2.5,0,40,10,25,25,0,0,0
29,CMA,5,2.9,0,20,20,30,30,0,0,0
30,CMA,1,2.7,0,20,0,15,40,0,20,5
30,CMA,2,2.7,0,80,0,0,0,0,10,10
30,CMA,3,2.8,0,65,0,5,30,0,0,0
30,CMA,4,2.6,0,65,0,0,35,0,0,0
30,CMA,5,2.8,0,60,0,30,10,0,0,0
30,CMA,1,2.5,0,50,0,0,20,30,0,0
30,CMA,2,2.4,0,70,0,10,20,0,0,0
30,CMA,3,2.4,30,20,0,0,0,50,0,0
30,CMA,4,2.4,0,10,0,0,90,0,0,0
